,USC00479319_prcp,USC00479319_snow,USC00479319_snwd,USC00479319_tmax,USC00479319_tmin,USC00205662_prcp,USC00205662_snow,USC00205662_snwd,USC00205662_tmax,USC00205662_tmin,Superior,Michigan-Huron,St. Clair,Erie,Ontario
1927-10-31,2.519354838709678,0.0,33.833333333333336,20.190322580645176,3.8322580645161297,0.2870967741935484,5.428571428571429,25.0,18.99032258064517,4.12258064516129,183.49,176.21,174.64,173.73,74.44
1927-11-30,2.773333333333334,9.666666666666666,7.142857142857143,6.730769230769233,-2.913333333333334,1.16,0.0,25.0,8.42333333333333,-2.1100000000000008,183.44,176.14,174.54,173.68,74.4
1927-12-31,5.075,50.0,151.23809523809524,-2.899999999999999,-16.306451612903217,1.32258064516129,2.870967741935484,102.0,0.7903225806451615,-7.180645161290327,183.38,176.12,174.64,173.88,74.62
1928-01-31,0.1096774193548387,1.6451612903225807,51.0,-1.212903225806452,-12.277419354838717,2.016129032258065,9.451612903225806,139.75,0.2903225806451613,-8.287096774193548,183.31,176.1,174.61,173.89,74.74
1928-02-29,7.7,6.517241379310345,66.33333333333333,1.0103448275862073,-10.51034482758621,2.0482758620689654,3.4827586206896552,44.25,0.26551724137931026,-9.331034482758623,183.24,176.11,174.46,173.88,74.73
1928-03-31,1.6612903225806452,10.0,73.9090909090909,7.525806451612903,-6.373333333333333,2.232258064516129,13.161290322580646,90.33333333333333,3.8741935483870966,-7.438709677419356,183.2,176.15,174.35,173.77,74.72
1928-04-30,2.1600000000000006,78.25,165.0,11.166666666666668,-2.559999999999999,1.2266666666666666,2.966666666666667,0.0,10.803333333333338,-5.683333333333329,183.25,176.29,174.73,173.9,74.87
1928-05-31,2.7064516129032263,0.0,165.0,22.883870967741927,6.412903225806451,1.2451612903225804,2.966666666666667,0.0,21.290322580645157,5.4967741935483865,183.36,176.44,174.84,173.97,74.93
1928-06-30,4.760000000000001,0.0,165.0,23.209999999999994,9.556666666666663,3.619999999999999,3.0,0.0,21.956666666666667,11.403333333333327,183.44,176.5,174.94,174.07,74.93
1928-07-31,1.4020833333333336,0.0,165.0,28.989583333333346,15.249999999999998,4.425,3.0,0.0,29.5764705882353,16.341176470588234,183.56,176.59,175.06,174.16,74.97
1928-08-31,4.84516129032258,0.0,165.0,28.670967741935485,13.90967741935484,2.85483870967742,3.0,0.0,28.312903225806448,12.225806451612915,183.62,176.62,175.05,174.12,74.94
1928-09-30,1.7633333333333334,0.0,165.0,22.106896551724148,6.703333333333334,2.85483870967742,3.0,0.0,21.39,7.363333333333335,183.69,176.6,174.94,173.99,74.79
1928-10-31,3.045161290322581,0.0,165.0,17.170000000000005,4.300000000000001,1.796774193548387,0.0,0.0,17.435483870967737,6.145161290322579,183.74,176.61,174.9,173.9,74.67
1928-11-30,3.210000000000001,50.0,59.333333333333336,6.819999999999998,-1.59,3.1866666666666665,0.0,0.0,7.903333333333332,0.21666666666666684,183.68,176.65,174.89,173.87,74.64
1928-12-31,1.4129032258064513,4.666666666666667,81.1,1.6322580645161289,-8.577419354838712,1.5129032258064516,5.451612903225806,54.94444444444444,2.458064516129032,-4.71290322580645,183.57,176.66,174.89,173.9,74.68
1929-01-31,5.0470588235294125,61.285714285714285,629.9,-7.8548387096774155,-22.816129032258043,1.9322580645161287,24.25,140.96774193548387,-3.1967741935483884,-13.70645161290322,183.46,176.65,175.01,173.92,74.68
1929-02-28,7.5666666666666655,18.5,781.0,-4.778571428571428,-18.925925925925917,2.29,10.375,216.96428571428572,-2.282142857142859,-13.767857142857148,183.42,176.63,175.13,173.98,74.67
